hexID,LAT,LON,kingdom,species,Year
187027,12.035151,108.434105,Plantae,Phlegmariurus lehnertii,2013
187027,12.035151,108.434105,Plantae,Phlegmariurus lehnertii,2013
119837,46.12397,4.40211,Plantae,Ceratocapnos claviculata,2013
119674,46.01873,4.38956,Plantae,Trocdaris verticillatum,2013
119998,46.00651,4.58091,Plantae,Noccaea caerulescens,2013
119674,46.01873,4.38956,Plantae,Eriophorum angustifolium,2013
119674,46.02442,4.38728,Plantae,Trocdaris verticillatum,2013
119674,46.02442,4.38728,Plantae,Veronica scutellata,2013
119674,46.01873,4.38956,Plantae,Pedicularis sylvatica,2013
119349,44.98738,3.98331,Plantae,Alyssum alyssoides,2014
119837,46.19254,4.45186,Plantae,Parnassia palustris,2013
119674,45.98763,4.38992,Plantae,Equisetum fluviatile,2013
119837,46.19254,4.45186,Plantae,Dryopteris borreri,2013
119349,44.98738,3.98331,Plantae,Stachys germanica,2014
119674,45.97371,4.38842,Plantae,Polygala serpyllifolia,2013
119674,45.98763,4.38992,Plantae,Impatiens noli-tangere,2013
119837,46.01535,4.51058,Plantae,Lilium martagon,2013
119674,46.01873,4.38956,Plantae,Misopates orontium,2013
119674,45.92535,4.45987,Plantae,Melittis melissophyllum,2013
119837,46.03155,4.53814,Plantae,Noccaea caerulescens,2013
119674,45.96473,4.32842,Plantae,Symphytum officinale,2013
119674,45.96473,4.32842,Plantae,Lophiolepis eriophora,2013
119837,46.23488,4.55965,Plantae,Hypopitys monotropa,2013
119837,46.01535,4.51058,Plantae,Lilium martagon,2013
119998,45.9704,4.59784,Plantae,Stachys alpina,2013
119837,46.12397,4.40211,Plantae,Stellaria alsine,2013
119674,46.01792,4.45418,Plantae,Gymnocarpium dryopteris,2013
119837,46.08354,4.46216,Plantae,Polystichum setiferum,2013
119674,45.9729,4.45299,Plantae,Gymnocarpium dryopteris,2013
119674,45.90363,4.42381,Plantae,Campanula patula,2013
119837,46.10877,4.39184,Plantae,Epilobium palustre,2013
119998,45.8704,4.6414,Plantae,Hesperocodon hederaceus,2013
119674,46.01873,4.38956,Plantae,Polygala serpyllifolia,2013
119349,44.98738,3.98331,Plantae,Anacamptis pyramidalis,2014
119349,44.98738,3.98331,Plantae,Bufonia paniculata,2014
119837,46.03334,4.45926,Plantae,Dryopteris remota,2013
119998,45.97155,4.56255,Plantae,Dactylorhiza sambucina,2013
119674,46.02442,4.38728,Plantae,Polystichum setiferum,2013
119674,46.01873,4.38956,Plantae,Ulex europaeus,2013
119674,45.97371,4.38842,Plantae,Silene hampeana,2013
119674,45.98763,4.38992,Plantae,Dryopteris affinis,2013
119837,46.18924,4.53679,Plantae,Phegopteris connectilis,2013
119674,46.02442,4.38728,Plantae,Dactylorhiza maculata,2013
119674,45.9772,4.42648,Plantae,Menyanthes trifoliata,2013
119998,45.86039,4.61601,Plantae,Campanula trachelium,2013
119837,46.12397,4.40211,Plantae,Menyanthes trifoliata,2013
119837,46.12397,4.40211,Plantae,Cardamine impatiens,2013
119837,46.10589,4.34522,Plantae,Hypopitys monotropa,2013
119998,45.88114,4.57953,Plantae,Colchicum autumnale,2013
119674,45.97371,4.38842,Plantae,Galium odoratum,2013
119349,44.98738,3.98331,Plantae,Orchis purpurea,2014
119674,45.9729,4.45299,Plantae,Ranunculus aconitifolius,2013
119674,46.01873,4.38956,Plantae,Silene hampeana,2013
119674,46.01873,4.38956,Plantae,Cystopteris Bernh.,2013
119837,46.03155,4.53814,Plantae,Asplenium septentrionale,2013
119837,46.10877,4.39184,Plantae,Osmunda regalis,2008
119674,45.98763,4.38992,Plantae,Symphytum caucasicum,2013
119674,46.01873,4.38956,Plantae,Parnassia palustris,2013
119674,45.96473,4.32842,Plantae,Geranium nodosum,2013
119674,45.94741,4.42125,Plantae,Polystichum setiferum,2013
119837,46.12397,4.40211,Plantae,Illecebrum verticillatum,2013
119837,46.16073,4.40931,Plantae,Oreopteris limbosperma,2013
119998,45.89071,4.61688,Plantae,Gymnocarpium robertianum,2013
119998,46.01619,4.5834,Plantae,Asplenium septentrionale,2013
119674,46.02442,4.38728,Plantae,Parnassia palustris,2013
119837,46.10877,4.39184,Plantae,Comarum palustre,2013
119674,46.01873,4.38956,Plantae,Veronica scutellata,2013
119674,45.97371,4.38842,Plantae,Convallaria majalis,2013
119674,46.02442,4.38728,Plantae,Cystopteris Bernh.,2013
119998,45.8704,4.6414,Plantae,Ranunculus aconitifolius,2013
119837,46.19254,4.45186,Plantae,Eriophorum angustifolium,2013
119998,45.8704,4.6414,Plantae,Anacamptis pyramidalis,2013
119674,46.02442,4.38728,Plantae,Viola palustris,2013
119998,45.8704,4.6414,Plantae,Symphytum uplandicum,2013
119674,46.00001,4.4534,Plantae,Tanacetum parthenium,2013
119674,45.9287,4.38729,Plantae,Silene hampeana,2013
119837,46.12397,4.40211,Plantae,Conopodium majus,2013
119998,45.92616,4.58082,Plantae,Pentanema salicinum,2013
119998,45.92197,4.5197,Plantae,Dryopteris affinis,2013
119674,45.9845,4.49896,Plantae,Asplenium septentrionale,2013
119674,45.97371,4.38842,Plantae,Corrigiola litoralis,2013
119674,45.9845,4.49896,Plantae,Impatiens glandulifera,2013
119674,46.02442,4.38728,Plantae,Ribes uva-crispa,2013
119674,46.02442,4.38728,Plantae,Cardamine impatiens,2013
119998,45.86039,4.61601,Plantae,Bupleurum falcatum,2013
119998,45.8704,4.6414,Plantae,Gymnocarpium robertianum,2013
119674,45.9772,4.42648,Plantae,Parnassia palustris,2013
119349,44.98738,3.98331,Plantae,Fumana procumbens,2014
119837,46.08354,4.46216,Plantae,Chamaenerion dodonaei,2013
119998,45.8704,4.6414,Plantae,Eriophorum angustifolium,2013
119837,46.08354,4.46216,Plantae,Stellaria nemorum,2013
119674,45.9845,4.49896,Plantae,Pseudofumaria alba,2013
119674,46.02442,4.38728,Plantae,Ulex europaeus,2013
119674,45.98763,4.38992,Plantae,Campanula persicifolia,2013
119349,44.98738,3.98331,Plantae,Xeranthemum cylindraceum,2014
119837,46.01535,4.51058,Plantae,Lilium martagon,2013
119674,45.92789,4.4518,Plantae,Melittis melissophyllum,2013
119674,45.96473,4.32842,Plantae,Ribes uva-crispa,2013
119837,46.10877,4.39184,Plantae,Illecebrum verticillatum,2013
119837,46.12397,4.40211,Plantae,Eriophorum angustifolium,2013
119837,46.01535,4.51058,Plantae,Phyteuma spicatum,2013
119674,46.01873,4.38956,Plantae,Asplenium L.,2013
119674,46.01873,4.38956,Plantae,Ribes alpinum,2013
